,episode,round,state,action,reward,done,model,environment
0,0,0,0,0.0,,,Q_learning,ABC
1,0,1,0,1.0,-1.0,False,Q_learning,ABC
2,0,2,1,1.0,-1.0,False,Q_learning,ABC
3,0,3,2,,10.0,True,Q_learning,ABC
4,1,0,0,0.0,,,Q_learning,ABC
5,1,1,0,1.0,-1.0,False,Q_learning,ABC
6,1,2,1,1.0,-1.0,False,Q_learning,ABC
7,1,3,2,,10.0,True,Q_learning,ABC
8,2,0,0,1.0,,,Q_learning,ABC
9,2,1,1,1.0,-1.0,False,Q_learning,ABC
10,2,2,2,,10.0,True,Q_learning,ABC
11,3,0,0,1.0,,,Q_learning,ABC
12,3,1,1,1.0,-1.0,False,Q_learning,ABC
13,3,2,1,1.0,-1.0,False,Q_learning,ABC
14,3,3,2,,10.0,True,Q_learning,ABC
15,4,0,0,1.0,,,Q_learning,ABC
16,4,1,1,1.0,-1.0,False,Q_learning,ABC
17,4,2,2,,10.0,True,Q_learning,ABC
18,5,0,0,1.0,,,Q_learning,ABC
19,5,1,1,1.0,-1.0,False,Q_learning,ABC
20,5,2,2,,10.0,True,Q_learning,ABC
21,6,0,0,1.0,,,Q_learning,ABC
22,6,1,1,1.0,-1.0,False,Q_learning,ABC
23,6,2,2,,10.0,True,Q_learning,ABC
24,7,0,0,1.0,,,Q_learning,ABC
25,7,1,1,1.0,-1.0,False,Q_learning,ABC
26,7,2,2,,10.0,True,Q_learning,ABC
27,8,0,0,1.0,,,Q_learning,ABC
28,8,1,0,1.0,-1.0,False,Q_learning,ABC
29,8,2,1,1.0,-1.0,False,Q_learning,ABC
30,8,3,2,,10.0,True,Q_learning,ABC
31,9,0,0,1.0,,,Q_learning,ABC
32,9,1,1,1.0,-1.0,False,Q_learning,ABC
33,9,2,2,,10.0,True,Q_learning,ABC
34,10,0,0,1.0,,,Q_learning,ABC
35,10,1,1,1.0,-1.0,False,Q_learning,ABC
36,10,2,2,,10.0,True,Q_learning,ABC
37,11,0,0,1.0,,,Q_learning,ABC
38,11,1,1,1.0,-1.0,False,Q_learning,ABC
39,11,2,1,1.0,-1.0,False,Q_learning,ABC
40,11,3,2,,10.0,True,Q_learning,ABC
41,12,0,0,1.0,,,Q_learning,ABC
42,12,1,1,1.0,-1.0,False,Q_learning,ABC
43,12,2,1,1.0,-1.0,False,Q_learning,ABC
44,12,3,2,,10.0,True,Q_learning,ABC
45,13,0,0,1.0,,,Q_learning,ABC
46,13,1,1,1.0,-1.0,False,Q_learning,ABC
47,13,2,2,,10.0,True,Q_learning,ABC
48,14,0,0,1.0,,,Q_learning,ABC
49,14,1,1,1.0,-1.0,False,Q_learning,ABC
50,14,2,1,1.0,-1.0,False,Q_learning,ABC
51,14,3,2,,10.0,True,Q_learning,ABC
52,15,0,0,1.0,,,Q_learning,ABC
53,15,1,1,1.0,-1.0,False,Q_learning,ABC
54,15,2,2,,10.0,True,Q_learning,ABC
55,16,0,0,1.0,,,Q_learning,ABC
56,16,1,1,1.0,-1.0,False,Q_learning,ABC
57,16,2,2,,10.0,True,Q_learning,ABC
58,17,0,0,1.0,,,Q_learning,ABC
59,17,1,1,1.0,-1.0,False,Q_learning,ABC
60,17,2,2,,10.0,True,Q_learning,ABC
61,18,0,0,1.0,,,Q_learning,ABC
62,18,1,1,1.0,-1.0,False,Q_learning,ABC
63,18,2,1,1.0,-1.0,False,Q_learning,ABC
64,18,3,2,,10.0,True,Q_learning,ABC
65,19,0,0,1.0,,,Q_learning,ABC
66,19,1,1,1.0,-1.0,False,Q_learning,ABC
67,19,2,1,1.0,-1.0,False,Q_learning,ABC
68,19,3,2,,10.0,True,Q_learning,ABC
69,20,0,0,1.0,,,Q_learning,ABC
70,20,1,0,1.0,-1.0,False,Q_learning,ABC
71,20,2,1,1.0,-1.0,False,Q_learning,ABC
72,20,3,2,,10.0,True,Q_learning,ABC
73,21,0,0,1.0,,,Q_learning,ABC
