,episode,round,state,action,reward,done,model,environment
0,0,0,0,2.0,,,Q_learning,FrozenLake-v1
1,0,1,0,2.0,0.0,False,Q_learning,FrozenLake-v1
2,0,2,0,0.0,0.0,False,Q_learning,FrozenLake-v1
3,0,3,4,2.0,0.0,False,Q_learning,FrozenLake-v1
4,0,4,8,1.0,0.0,False,Q_learning,FrozenLake-v1
5,0,5,8,2.0,0.0,False,Q_learning,FrozenLake-v1
6,0,6,12,2.0,0.0,False,Q_learning,FrozenLake-v1
7,0,7,12,0.0,0.0,False,Q_learning,FrozenLake-v1
8,0,8,12,0.0,0.0,False,Q_learning,FrozenLake-v1
9,0,9,12,3.0,0.0,False,Q_learning,FrozenLake-v1
10,0,10,12,0.0,0.0,False,Q_learning,FrozenLake-v1
11,0,11,8,0.0,0.0,False,Q_learning,FrozenLake-v1
12,0,12,4,2.0,0.0,False,Q_learning,FrozenLake-v1
13,0,13,5,1.0,0.0,False,Q_learning,FrozenLake-v1
14,0,14,6,,0.0,True,Q_learning,FrozenLake-v1
15,1,0,0,1.0,,,Q_learning,FrozenLake-v1
16,1,1,4,1.0,0.0,False,Q_learning,FrozenLake-v1
17,1,2,4,1.0,0.0,False,Q_learning,FrozenLake-v1
18,1,3,5,2.0,0.0,False,Q_learning,FrozenLake-v1
19,1,4,9,,0.0,True,Q_learning,FrozenLake-v1
20,2,0,0,2.0,,,Q_learning,FrozenLake-v1
21,2,1,4,0.0,0.0,False,Q_learning,FrozenLake-v1
22,2,2,8,1.0,0.0,False,Q_learning,FrozenLake-v1
23,2,3,12,1.0,0.0,False,Q_learning,FrozenLake-v1
24,2,4,13,3.0,0.0,False,Q_learning,FrozenLake-v1
25,2,5,9,,0.0,True,Q_learning,FrozenLake-v1
26,3,0,0,3.0,,,Q_learning,FrozenLake-v1
27,3,1,1,1.0,0.0,False,Q_learning,FrozenLake-v1
28,3,2,5,1.0,0.0,False,Q_learning,FrozenLake-v1
29,3,3,9,,0.0,True,Q_learning,FrozenLake-v1
30,4,0,0,0.0,,,Q_learning,FrozenLake-v1
31,4,1,0,1.0,0.0,False,Q_learning,FrozenLake-v1
32,4,2,4,2.0,0.0,False,Q_learning,FrozenLake-v1
33,4,3,8,0.0,0.0,False,Q_learning,FrozenLake-v1
34,4,4,12,1.0,0.0,False,Q_learning,FrozenLake-v1
35,4,5,13,1.0,0.0,False,Q_learning,FrozenLake-v1
36,4,6,12,3.0,0.0,False,Q_learning,FrozenLake-v1
37,4,7,13,2.0,0.0,False,Q_learning,FrozenLake-v1
38,4,8,14,0.0,0.0,False,Q_learning,FrozenLake-v1
39,4,9,13,0.0,0.0,False,Q_learning,FrozenLake-v1
40,4,10,12,2.0,0.0,False,Q_learning,FrozenLake-v1
41,4,11,8,2.0,0.0,False,Q_learning,FrozenLake-v1
42,4,12,9,,0.0,True,Q_learning,FrozenLake-v1
43,5,0,0,2.0,,,Q_learning,FrozenLake-v1
44,5,1,1,0.0,0.0,False,Q_learning,FrozenLake-v1
45,5,2,1,1.0,0.0,False,Q_learning,FrozenLake-v1
46,5,3,2,2.0,0.0,False,Q_learning,FrozenLake-v1
47,5,4,6,,0.0,True,Q_learning,FrozenLake-v1
48,6,0,0,1.0,,,Q_learning,FrozenLake-v1
49,6,1,4,1.0,0.0,False,Q_learning,FrozenLake-v1
50,6,2,8,0.0,0.0,False,Q_learning,FrozenLake-v1
51,6,3,4,0.0,0.0,False,Q_learning,FrozenLake-v1
52,6,4,4,2.0,0.0,False,Q_learning,FrozenLake-v1
53,6,5,8,1.0,0.0,False,Q_learning,FrozenLake-v1
54,6,6,12,1.0,0.0,False,Q_learning,FrozenLake-v1
55,6,7,12,0.0,0.0,False,Q_learning,FrozenLake-v1
56,6,8,12,2.0,0.0,False,Q_learning,FrozenLake-v1
57,6,9,12,0.0,0.0,False,Q_learning,FrozenLake-v1
58,6,10,12,2.0,0.0,False,Q_learning,FrozenLake-v1
59,6,11,8,0.0,0.0,False,Q_learning,FrozenLake-v1
60,6,12,12,3.0,0.0,False,Q_learning,FrozenLake-v1
61,6,13,12,1.0,0.0,False,Q_learning,FrozenLake-v1
62,6,14,13,2.0,0.0,False,Q_learning,FrozenLake-v1
63,6,15,13,3.0,0.0,False,Q_learning,FrozenLake-v1
64,6,16,14,0.0,0.0,False,Q_learning,FrozenLake-v1
65,6,17,14,0.0,0.0,False,Q_learning,FrozenLake-v1
66,6,18,10,3.0,0.0,False,Q_learning,FrozenLake-v1
67,6,19,6,,0.0,True,Q_learning,FrozenLake-v1
68,7,0,0,3.0,,,Q_learning,FrozenLake-v1
69,7,1,0,0.0,0.0,False,Q_learning,FrozenLake-v1
70,7,2,0,2.0,0.0,False,Q_learning,FrozenLake-v1
71,7,3,0,0.0,0.0,False,Q_learning,FrozenLake-v1
72,7,4,0,2.0,0.0,False,Q_learning,FrozenLake-v1
73,7,5,0,3.0,0.0,False,Q_learning,FrozenLake-v1
74,7,6,0,0.0,0.0,False,Q_learning,FrozenLake-v1
