,episode,round,state,action,reward,done,model,environment
0,0,0,0,4.0,,,Q_learning,TriquiEnv
1,0,1,13203,3.0,0.0,False,Q_learning,TriquiEnv
2,0,2,15396,1.0,0.0,False,Q_learning,TriquiEnv
3,0,3,15693,6.0,0.0,False,Q_learning,TriquiEnv
4,0,4,16440,2.0,0.0,False,Q_learning,TriquiEnv
5,0,5,16440,,-1000.0,True,Q_learning,TriquiEnv
6,1,0,0,2.0,,,Q_learning,TriquiEnv
7,1,1,171,5.0,0.0,False,Q_learning,TriquiEnv
8,1,2,176,7.0,0.0,False,Q_learning,TriquiEnv
9,1,3,13325,,-1.0,True,Q_learning,TriquiEnv
10,2,0,0,2.0,,,Q_learning,TriquiEnv
11,2,1,171,1.0,0.0,False,Q_learning,TriquiEnv
12,2,2,13536,3.0,0.0,False,Q_learning,TriquiEnv
13,2,3,15725,,-1.0,True,Q_learning,TriquiEnv
14,3,0,0,7.0,,,Q_learning,TriquiEnv
15,3,1,513,3.0,0.0,False,Q_learning,TriquiEnv
16,3,2,4158,5.0,0.0,False,Q_learning,TriquiEnv
17,3,3,4323,3.0,0.0,False,Q_learning,TriquiEnv
18,3,4,4323,,-1000.0,True,Q_learning,TriquiEnv
19,4,0,0,0.0,,,Q_learning,TriquiEnv
20,4,1,6723,8.0,0.0,False,Q_learning,TriquiEnv
21,4,2,7210,3.0,0.0,False,Q_learning,TriquiEnv
22,4,3,10855,1.0,0.0,False,Q_learning,TriquiEnv
23,4,4,10855,,-1000.0,True,Q_learning,TriquiEnv
24,5,0,0,2.0,,,Q_learning,TriquiEnv
25,5,1,171,8.0,0.0,False,Q_learning,TriquiEnv
26,5,2,178,1.0,0.0,False,Q_learning,TriquiEnv
27,5,3,4795,,-1.0,True,Q_learning,TriquiEnv
28,6,0,0,3.0,,,Q_learning,TriquiEnv
29,6,1,15309,3.0,0.0,False,Q_learning,TriquiEnv
30,6,2,15309,,-1000.0,True,Q_learning,TriquiEnv
31,7,0,0,8.0,,,Q_learning,TriquiEnv
32,7,1,163,5.0,0.0,False,Q_learning,TriquiEnv
33,7,2,184,3.0,0.0,False,Q_learning,TriquiEnv
34,7,3,15493,0.0,0.0,False,Q_learning,TriquiEnv
35,7,4,15493,,-1000.0,True,Q_learning,TriquiEnv
36,8,0,0,3.0,,,Q_learning,TriquiEnv
37,8,1,15309,1.0,0.0,False,Q_learning,TriquiEnv
38,8,2,15714,7.0,0.0,False,Q_learning,TriquiEnv
39,8,3,15759,2.0,0.0,False,Q_learning,TriquiEnv
40,8,4,15759,,-1000.0,True,Q_learning,TriquiEnv
41,9,0,0,0.0,,,Q_learning,TriquiEnv
42,9,1,6723,7.0,0.0,False,Q_learning,TriquiEnv
43,9,2,11124,8.0,0.0,False,Q_learning,TriquiEnv
44,9,3,11131,,-1.0,True,Q_learning,TriquiEnv
45,10,0,0,7.0,,,Q_learning,TriquiEnv
46,10,1,513,4.0,0.0,False,Q_learning,TriquiEnv
47,10,2,13716,3.0,0.0,False,Q_learning,TriquiEnv
48,10,3,15921,,-1.0,True,Q_learning,TriquiEnv
49,11,0,0,5.0,,,Q_learning,TriquiEnv
50,11,1,21,8.0,0.0,False,Q_learning,TriquiEnv
51,11,2,13144,0.0,0.0,False,Q_learning,TriquiEnv
52,11,3,13144,,-1000.0,True,Q_learning,TriquiEnv
53,12,0,0,2.0,,,Q_learning,TriquiEnv
54,12,1,171,1.0,0.0,False,Q_learning,TriquiEnv
55,12,2,13536,4.0,0.0,False,Q_learning,TriquiEnv
56,12,3,13536,,-1000.0,True,Q_learning,TriquiEnv
57,13,0,0,2.0,,,Q_learning,TriquiEnv
58,13,1,171,1.0,0.0,False,Q_learning,TriquiEnv
59,13,2,13536,0.0,0.0,False,Q_learning,TriquiEnv
60,13,3,13536,,-1000.0,True,Q_learning,TriquiEnv
61,14,0,0,7.0,,,Q_learning,TriquiEnv
62,14,1,513,2.0,0.0,False,Q_learning,TriquiEnv
63,14,2,1980,0.0,0.0,False,Q_learning,TriquiEnv
64,14,3,8703,8.0,0.0,False,Q_learning,TriquiEnv
65,14,4,8710,2.0,0.0,False,Q_learning,TriquiEnv
66,14,5,8710,,-1000.0,True,Q_learning,TriquiEnv
67,15,0,0,2.0,,,Q_learning,TriquiEnv
68,15,1,171,8.0,0.0,False,Q_learning,TriquiEnv
69,15,2,178,0.0,0.0,False,Q_learning,TriquiEnv
70,15,3,7225,4.0,0.0,False,Q_learning,TriquiEnv
71,15,4,7225,,-1000.0,True,Q_learning,TriquiEnv
72,16,0,0,1.0,,,Q_learning,TriquiEnv
