,episode,round,state,action,reward,done,model,environment
0,0,0,0,1.0,,,SARSA,ABC
1,0,1,1,0.0,-1.0,False,SARSA,ABC
2,0,2,0,0.0,-1.0,False,SARSA,ABC
3,0,3,0,1.0,-1.0,False,SARSA,ABC
4,0,4,1,1.0,-1.0,False,SARSA,ABC
5,0,5,1,1.0,-1.0,False,SARSA,ABC
6,0,6,2,,10.0,True,SARSA,ABC
7,1,0,0,0.0,,,SARSA,ABC
8,1,1,0,1.0,-1.0,False,SARSA,ABC
9,1,2,1,1.0,-1.0,False,SARSA,ABC
10,1,3,2,,10.0,True,SARSA,ABC
11,2,0,0,1.0,,,SARSA,ABC
12,2,1,1,1.0,-1.0,False,SARSA,ABC
13,2,2,2,,10.0,True,SARSA,ABC
14,3,0,0,0.0,,,SARSA,ABC
15,3,1,0,1.0,-1.0,False,SARSA,ABC
16,3,2,1,1.0,-1.0,False,SARSA,ABC
17,3,3,1,1.0,-1.0,False,SARSA,ABC
18,3,4,2,,10.0,True,SARSA,ABC
19,4,0,0,1.0,,,SARSA,ABC
20,4,1,1,0.0,-1.0,False,SARSA,ABC
21,4,2,0,1.0,-1.0,False,SARSA,ABC
22,4,3,1,1.0,-1.0,False,SARSA,ABC
23,4,4,2,,10.0,True,SARSA,ABC
24,5,0,0,1.0,,,SARSA,ABC
25,5,1,0,1.0,-1.0,False,SARSA,ABC
26,5,2,1,1.0,-1.0,False,SARSA,ABC
27,5,3,2,,10.0,True,SARSA,ABC
28,6,0,0,1.0,,,SARSA,ABC
29,6,1,1,1.0,-1.0,False,SARSA,ABC
30,6,2,2,,10.0,True,SARSA,ABC
31,7,0,0,0.0,,,SARSA,ABC
32,7,1,0,1.0,-1.0,False,SARSA,ABC
33,7,2,1,1.0,-1.0,False,SARSA,ABC
34,7,3,2,,10.0,True,SARSA,ABC
35,8,0,0,1.0,,,SARSA,ABC
36,8,1,1,1.0,-1.0,False,SARSA,ABC
37,8,2,2,,10.0,True,SARSA,ABC
38,9,0,0,1.0,,,SARSA,ABC
39,9,1,1,0.0,-1.0,False,SARSA,ABC
40,9,2,0,1.0,-1.0,False,SARSA,ABC
41,9,3,1,1.0,-1.0,False,SARSA,ABC
42,9,4,2,,10.0,True,SARSA,ABC
43,10,0,0,1.0,,,SARSA,ABC
44,10,1,1,0.0,-1.0,False,SARSA,ABC
45,10,2,0,1.0,-1.0,False,SARSA,ABC
46,10,3,0,1.0,-1.0,False,SARSA,ABC
47,10,4,0,0.0,-1.0,False,SARSA,ABC
48,10,5,0,1.0,-1.0,False,SARSA,ABC
49,10,6,1,1.0,-1.0,False,SARSA,ABC
50,10,7,2,,10.0,True,SARSA,ABC
51,11,0,0,1.0,,,SARSA,ABC
52,11,1,1,1.0,-1.0,False,SARSA,ABC
53,11,2,2,,10.0,True,SARSA,ABC
54,12,0,0,1.0,,,SARSA,ABC
55,12,1,1,0.0,-1.0,False,SARSA,ABC
56,12,2,0,1.0,-1.0,False,SARSA,ABC
57,12,3,1,1.0,-1.0,False,SARSA,ABC
58,12,4,2,,10.0,True,SARSA,ABC
59,13,0,0,1.0,,,SARSA,ABC
60,13,1,1,1.0,-1.0,False,SARSA,ABC
61,13,2,2,,10.0,True,SARSA,ABC
62,14,0,0,1.0,,,SARSA,ABC
63,14,1,0,1.0,-1.0,False,SARSA,ABC
64,14,2,1,1.0,-1.0,False,SARSA,ABC
65,14,3,2,,10.0,True,SARSA,ABC
66,15,0,0,1.0,,,SARSA,ABC
67,15,1,1,1.0,-1.0,False,SARSA,ABC
