,episode,round,state,action,reward,done,model,environment
0,0,0,0,1.0,,,SARSA,FrozenLake-v1
1,0,1,4,1.0,0.0,False,SARSA,FrozenLake-v1
2,0,2,8,2.0,0.0,False,SARSA,FrozenLake-v1
3,0,3,4,0.0,0.0,False,SARSA,FrozenLake-v1
4,0,4,8,0.0,0.0,False,SARSA,FrozenLake-v1
5,0,5,8,0.0,0.0,False,SARSA,FrozenLake-v1
6,0,6,8,2.0,0.0,False,SARSA,FrozenLake-v1
7,0,7,9,,0.0,True,SARSA,FrozenLake-v1
8,1,0,0,2.0,,,SARSA,FrozenLake-v1
9,1,1,1,3.0,0.0,False,SARSA,FrozenLake-v1
10,1,2,1,0.0,0.0,False,SARSA,FrozenLake-v1
11,1,3,0,0.0,0.0,False,SARSA,FrozenLake-v1
12,1,4,0,1.0,0.0,False,SARSA,FrozenLake-v1
13,1,5,1,3.0,0.0,False,SARSA,FrozenLake-v1
14,1,6,1,3.0,0.0,False,SARSA,FrozenLake-v1
15,1,7,0,1.0,0.0,False,SARSA,FrozenLake-v1
16,1,8,4,3.0,0.0,False,SARSA,FrozenLake-v1
17,1,9,0,0.0,0.0,False,SARSA,FrozenLake-v1
18,1,10,4,2.0,0.0,False,SARSA,FrozenLake-v1
19,1,11,0,0.0,0.0,False,SARSA,FrozenLake-v1
20,1,12,0,2.0,0.0,False,SARSA,FrozenLake-v1
21,1,13,0,0.0,0.0,False,SARSA,FrozenLake-v1
22,1,14,4,2.0,0.0,False,SARSA,FrozenLake-v1
23,1,15,8,1.0,0.0,False,SARSA,FrozenLake-v1
24,1,16,12,3.0,0.0,False,SARSA,FrozenLake-v1
25,1,17,13,1.0,0.0,False,SARSA,FrozenLake-v1
26,1,18,12,0.0,0.0,False,SARSA,FrozenLake-v1
27,1,19,12,2.0,0.0,False,SARSA,FrozenLake-v1
28,1,20,13,3.0,0.0,False,SARSA,FrozenLake-v1
29,1,21,14,0.0,0.0,False,SARSA,FrozenLake-v1
30,1,22,10,3.0,0.0,False,SARSA,FrozenLake-v1
31,1,23,9,,0.0,True,SARSA,FrozenLake-v1
32,2,0,0,1.0,,,SARSA,FrozenLake-v1
33,2,1,1,2.0,0.0,False,SARSA,FrozenLake-v1
34,2,2,1,3.0,0.0,False,SARSA,FrozenLake-v1
35,2,3,0,2.0,0.0,False,SARSA,FrozenLake-v1
36,2,4,0,2.0,0.0,False,SARSA,FrozenLake-v1
37,2,5,4,1.0,0.0,False,SARSA,FrozenLake-v1
38,2,6,4,0.0,0.0,False,SARSA,FrozenLake-v1
39,2,7,4,1.0,0.0,False,SARSA,FrozenLake-v1
40,2,8,5,0.0,0.0,False,SARSA,FrozenLake-v1
41,2,9,9,,0.0,True,SARSA,FrozenLake-v1
42,3,0,0,1.0,,,SARSA,FrozenLake-v1
43,3,1,0,1.0,0.0,False,SARSA,FrozenLake-v1
44,3,2,1,0.0,0.0,False,SARSA,FrozenLake-v1
45,3,3,0,3.0,0.0,False,SARSA,FrozenLake-v1
46,3,4,1,1.0,0.0,False,SARSA,FrozenLake-v1
47,3,5,2,0.0,0.0,False,SARSA,FrozenLake-v1
48,3,6,2,0.0,0.0,False,SARSA,FrozenLake-v1
49,3,7,6,,0.0,True,SARSA,FrozenLake-v1
50,4,0,0,0.0,,,SARSA,FrozenLake-v1
51,4,1,0,3.0,0.0,False,SARSA,FrozenLake-v1
52,4,2,1,2.0,0.0,False,SARSA,FrozenLake-v1
53,4,3,2,2.0,0.0,False,SARSA,FrozenLake-v1
